Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags,Source,ICP Match
Customized Distribution Services,cdslogistics.com,Warehousing and Storage,"Wharton, New Jersey, United States",501-1000,https://www.linkedin.com/company/customized-distribution-services,"Customized Distribution Services is a logistics company that offers dynamic 3PL solutions including inventory management, order fulfillment, and specialized services to power business growth.",privately held,,,Yes
McAneny Brothers,mcaneny.biz,Warehousing and Storage,"Ebensburg, Pennsylvania, United States",201-500,https://www.linkedin.com/company/mcanenybrothersinc,McAneny Brothers is a food distribution company that specializes in wholesale supply chain management and logistics.,privately held,,,Yes
Twin State,twinstate.net,Warehousing and Storage,"Hinton, West Virginia, United States",51-200,https://www.linkedin.com/company/twin-state-salon-supply,,privately held,,,No
Jbstrans.com,jbstrans.com,Warehousing and Storage,"Naperville, Illinois, United States",51-200,https://www.linkedin.com/company/jbs-logistics,"jbstrans.com is a logistics company that offers transportation, warehousing, trucking, and brokerage services with a focus on food-grade warehouses and cross-dock operations.",privately held,,,Yes
TRI-STATE ENTERPRISES,etristate.com,Warehousing and Storage,"Fort Smith, Arkansas, United States",501-1000,https://www.linkedin.com/company/tri-state-enterprises-inc.,TRI-STATE ENTERPRISES is a construction company that specializes in renovation and contracting services.,privately held,,,No
Fulfillment Hub USA,fulfillmenthubusa.com,Warehousing and Storage,"Miami, Florida, United States",51-200,https://www.linkedin.com/company/fulfillment-hub-usa-llc,"Fulfillment Hub USA is a logistics company that provides a wide range of services including order fulfillment for e-commerce, wholesale, pallet storage, cross-docking, FBA-prep, and freight.",privately held,,,Yes
Camrett Logistics,camrett.com,Warehousing and Storage,"Wytheville, Virginia, United States",51-200,https://www.linkedin.com/company/camrett-logistics,"Camrett Logistics is a logistics company that provides 3PL services, warehousing, and distribution with a focus on SmartWay Transport and Food Safety certifications, utilizing value-added services.",privately held,,,Yes
United Facilities,unifac.com,Warehousing and Storage,"East Peoria, Illinois, United States",201-500,https://www.linkedin.com/company/united-facilities-inc-,"United Facilities is a third-party logistics company that specializes in supply chain management, warehousing, and distribution services.",privately held,,,Yes
Imagine Fulfillment Services,imaginefulfillment.com,Warehousing and Storage,"14245 Artesia Blvd, 90638, Artesia, Louisiana, United States",51-200,https://www.linkedin.com/company/imagine-fulfillment-services,"Imagine Fulfillment Services is a fulfillment services company that helps clients improve quality, detail, reliability, and efficiency through ISO 9001 certified solutions and focus on saving and technology.",public company,,,Yes
Midwest Refrigerated Services,midwestrefrigerated.com,Warehousing and Storage,"Milwaukee, Wisconsin, United States",201-500,https://www.linkedin.com/company/midwest-refrigerated-services,Midwest Refrigerated Services is a refrigerated storage company that specializes in cold chain logistics and temperature-controlled transportation.,privately held,,,Yes
FARMERS COOPERATIVE COMPRESS,farmerscompress.com,Warehousing and Storage,"Lubbock, Texas, United States",201-500,https://www.linkedin.com/company/farmers-cooperative-compress,Farmers Cooperative Compress is a agriculture cooperative that provides compression services for farmers.,,,,No
ZonPrep,zonprep.com,Warehousing and Storage,"Atlanta, Georgia, United States",201-500,https://www.linkedin.com/company/zonprep,ZonPrep is an educational technology company that offers online learning platforms for test preparation and academic support.,privately held,,,No
"Commercial Warehouse & Cartage, Inc d/b/a CWC Logistics",cwclogon.com,Warehousing and Storage,"Fort Wayne, Indiana, United States",501-1000,https://www.linkedin.com/company/cwc-logistics,"Commercial Warehouse & Cartage is a logistics company that specializes in warehousing, transportation, and distribution services.",privately held,,,Yes
K&M Tire,kmtire.com,Warehousing and Storage,"Delphos, Ohio, United States",1001-5000,https://www.linkedin.com/company/k%26-m-tire,K&M Tire is a tire distribution company that specializes in retail and wholesale distribution of tires for vehicle maintenance.,privately held,,,Yes
Product Fulfillment Solutions,productfulfillmentsolutions.com,Warehousing and Storage,"Springdale, Ohio, United States",51-200,https://www.linkedin.com/company/product-fulfillment-solutions,"Product Fulfillment Solutions is a product fulfillment company that specializes in managing warehousing, shipping, inventory, packaging, and logistics for clients.",privately held,,,Yes
Mile Hi Companies,milehicompanies.com,Warehousing and Storage,"Denver, Colorado, United States",201-500,https://www.linkedin.com/company/mile-hi-companies,,privately held,,,Yes
Citi-Cargo,citi-cargo.com,Warehousing and Storage,"Eagan, Minnesota, United States",51-200,https://www.linkedin.com/company/citi-cargo-%26-storage,"Citi-Cargo & Storage is a logistics company that offers portable storage, warehousing, transportation services, and complete Third-Party Logistics (3PL) solutions.",privately held,,,Yes
HOJ Innovations,hoj.net,Warehousing and Storage,"Salt Lake City, Utah, United States",201-500,https://www.linkedin.com/company/hoj-innovations,HOJ Innovations is a company that specializes in providing warehouse solutions and logistics automation.,privately held,,,Yes
DL Manufacturing,dlmanufacturing.com,Warehousing and Storage,"North Syracuse, New York, United States",51-200,https://www.linkedin.com/company/dl-manufacturingsyracuse,DL Manufacturing is a manufacturing company that specializes in innovative loading dock equipment and safety solutions.,privately held,,,No
Acme Distribution,acmedistribution.com,Warehousing and Storage,"Aurora, Colorado, United States",201-500,https://www.linkedin.com/company/acme-distribution,Acme Distribution is the top 3PL Contract Warehousing provider in Denver with Direct-to-Store Retail Fulfillment and indoor rail services for direct loading.,privately held,,,Yes
NEPW Logistics,nepw.com,Warehousing and Storage,"Portland, Maine, United States",51-200,https://www.linkedin.com/company/nepwlogistics,"NEPW Logistics is a logistics and warehousing company that offers transportation services, flexible storage space, and value-added services like cross-docking.",privately held,,,Yes
KK Integrated Logistics,kkil.net,Warehousing and Storage,"Menominee, Michigan, United States",51-200,https://www.linkedin.com/company/kk-integrated-logistics-inc-,KK Integrated Logistics is a warehousing company that provides integrated logistics solutions.,privately held,,,Yes
M Pack Solutions,mpackonline.com,Warehousing and Storage,"Gallatin, Tennessee, United States",51-200,https://www.linkedin.com/company/m-pack-solutions,"M Pack Solutions is a Manufacturing and Packaging Solutions company that offers supply chain, warehousing, logistics, kitting, assembly services, as well as a variety of packaging, office, and janitorial supplies.",partnership,,,Yes
Allen Distribution,allendistribution.com,Warehousing and Storage,"Carlisle, Pennsylvania, United States",1001-5000,https://www.linkedin.com/company/allen-distribution,"Allen Distribution is a logistics company that specializes in comprehensive supply chain solutions, including warehousing and transportation services tailored to meet client needs.",privately held,,,Yes
Macksteel Warehouse,macksteel.com,Warehousing and Storage,"Watertown, South Dakota, United States",51-200,https://www.linkedin.com/company/macksteel-farm-ranch,Macksteel Warehouse is a manufacturing company that produces a variety of products to enhance productivity and profitability in Farm and Ranch operations.,privately held,,,Yes
Quality Distribution,qdislc.com,Warehousing and Storage,"Salt Lake City, Utah, United States",51-200,https://www.linkedin.com/company/quality-distribution-llc,"Quality Distribution is a logistics company that offers full-service storage, distribution, and delivery solutions.",privately held,,,Yes
TC Trading Company,tctradingcompany.com,Warehousing and Storage,"Blaine, Washington, United States",51-200,https://www.linkedin.com/company/t-c-trading-company-inc,"T.C. Trading is a warehousing and logistics company specializing in temperature controlled storage, USDA import and export, cruise ship logistics, and transportation.",public company,,,Yes
PSS Distribution,pssdistribution.com,Warehousing and Storage,"Jamesburg, New Jersey, United States",51-200,https://www.linkedin.com/company/pss-distribution-services,"PSS Distribution Services is a provider of 3rd party logistics, warehousing, transportation & distribution services throughout the Northeast.",privately held,,,Yes
Los Angeles Cold Storage,lacold.com,Warehousing and Storage,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/los-angeles-cold-storage,Los Angeles Cold Storage is a warehousing company that specializes in cold storage and temperature-controlled storage solutions.,,,Hunter (Domain Search),Yes
Nebraska Warehouse,nebraskawarehouse.com,Warehousing and Storage,"Omaha, Nebraska, United States",51-200,https://www.linkedin.com/company/nebraska-warehouse,"Nebraska Warehouse is a warehouse services company that offers quality custom storage warehouses, transportation, and more for businesses with a focus on long-term customer satisfaction.",privately held,,,Yes
Supply Chain Warehouses,supplychainwarehouses.com,Warehousing and Storage,"Mount Juliet, Tennessee, United States",51-200,https://www.linkedin.com/company/supply-chain-warehouses,"Supply Chain Warehouses is a third-party logistics provider that offers reliable, flexible, tech-enabled warehousing solutions for B2B, DTC, and eCommerce brands.",privately held,,,Yes
Florence Casket,florencecasket.com,Warehousing and Storage,"United States, Massachusetts",51-200,https://www.linkedin.com/company/florence-casket-co,,self owned,,,No
Solar Supply,solarsupply.us,Warehousing and Storage,"Lake Charles, Louisiana, United States",201-500,https://www.linkedin.com/company/solar-supply,Solar Supply is a renewable energy company that specializes in providing solar power solutions.,privately held,,,No
Northern Fruit,northernfruit.com,Warehousing and Storage,"East Wenatchee, Washington, United States",51-200,https://www.linkedin.com/company/northern-fruit-company-inc-,"Northern Fruit is a fruit production company that specializes in growing, packing, and shipping Washington state apples and cherries, prioritizing quality and consistency over volume, with their highly sought-after ""Nordic"" label.",privately held,,,Yes
Grande Produce,grandeproduce.com,Warehousing and Storage,"San Juan, Texas, United States",201-500,https://www.linkedin.com/company/grande-produce,Grande Produce is a fresh produce wholesaler specializing in distributing a variety of agricultural products to the food industry.,privately held,,,No
Updike Distribution Logistics,updikedl.com,Warehousing and Storage,"Phoenix, Arizona, United States",501-1000,https://www.linkedin.com/company/updike-distribution-logistics-llc,Updike Distribution Logistics is a distribution and logistics company that offers supply chain solutions including transportation and warehousing services.,partnership,,,Yes
Jorgenson Companies,jorgensoncompanies.com,Warehousing and Storage,"Salt Lake City, Utah, United States",51-200,https://www.linkedin.com/company/jorgenson-companies,Jorgenson Companies is a distributor of industrial products known for their strong customer service and secure online shopping.,public company,,,No
Alpine Food Distributing,alpinefoods.com,Warehousing and Storage,"Portland, Oregon, United States",51-200,https://www.linkedin.com/company/alpinefooddistributing,Alpine Food Distributing is a food redistributor that offers less than truckload purchase options at truckload pricing.,privately held,,,No
Hodges Warehouse + Logistics,hodgeswarehouse.com,Warehousing and Storage,"Montgomery, Alabama, United States",51-200,https://www.linkedin.com/company/hodges-warehouse---logistics,"Hodges Warehouse + Logistics is a third party logistics company that offers warehouse and distribution services, helping clients with strategic logistics and warehousing decisions.",privately held,,,Yes
Quality Refrigerated Services,qualityrefrigerated.com,Warehousing and Storage,"Omaha, Nebraska, United States",51-200,https://www.linkedin.com/company/qualityrefrigeratedservicesinc,Quality Refrigerated Services is a refrigeration industry company that specializes in cold storage services with a focus on high-quality and personalized solutions.,privately held,,,Yes
Millard Refrigerated Services,millardref.com,Warehousing and Storage,"Novi, Michigan, United States",1001-5000,https://www.linkedin.com/company/millard-refrigerated-services,» Featured Wiki Articles is an online content platform that provides a digital encyclopedia for knowledge sharing.,privately held,,,Yes
Indian Nation Wholesale,inwsupply.com,Warehousing and Storage,"Durant, Oklahoma, United States",51-200,https://www.linkedin.com/company/indian-nation-wholesale-co,"Indian Nation Wholesale is a Wholesale company that delivers a wide range of products including candy, beverage, tobacco, paper goods, and grocery items.",privately held,,,No
United Warehouse Company,unitedwarehouse.com,Warehousing and Storage,"Tulsa, Oklahoma, United States",51-200,https://www.linkedin.com/company/united-warehouse-company,"United Warehouse is a warehousing and logistics company that offers secure warehousing, transportation, distribution services, 3PL, and contract packaging in Kansas and Oklahoma.",privately held,,,Yes
Sierra Pacific Warehouse Group,spwg.com,Warehousing and Storage,"Modesto, California, United States",51-200,https://www.linkedin.com/company/sierra-pacific-warehouse-group,Sierra Pacific Warehouse Group is a warehousing and logistics company that provides a network of cold and dry storage facilities strategically located in California’s Central Valley for efficient distribution and access to major transportation routes.,privately held,,Hunter (Domain Search),Yes
Neill Cartage,neillcartage.com,Warehousing and Storage,"Berkeley, Illinois, United States",51-200,https://www.linkedin.com/company/neill-cartage,"Neill Cartage is a logistics company that offers warehousing and distribution services in the Midwest region, specializing in reliable and cost-efficient solutions.",privately held,,,Yes
Xpedient Logistics,xpedient.com,Warehousing and Storage,"Dallas, Texas, United States",501-1000,https://www.linkedin.com/company/xpedient-logistics,"Xpedient Logistics is a logistics company that offers a full range of 3rd party logistics services including warehousing, transportation management, supply chain management, order fulfillment, and labor needs.",privately held,,,Yes
CSW: Cold Storage Warehouse,csw-wi.com,Warehousing and Storage,"Madison, Wisconsin, United States",51-200,https://www.linkedin.com/company/central-storage-%26-warehouse-co-,Central Storage & Warehouse is a temperature-controlled warehouse services provider offering refrigerated and frozen storage solutions with a focus on personalized service.,privately held,,,Yes
Monarch Inventory Services,monarch-inv.com,Warehousing and Storage,"Lenexa, Kansas, United States",51-200,https://www.linkedin.com/company/monarch-inventory-services,"Monarch Inventory Services is a inventory management company that specializes in providing warehouses, distribution centers, and manufacturing facilities with superior and cost-effective inventory audits.",privately held,,,Yes
Basic Crating & Packaging,basiccrating.com,Warehousing and Storage,"Elk Grove Village, Illinois, United States",51-200,https://www.linkedin.com/company/basic-crating-%26-packaging-inc-,"Basic Crating 
 Packaging is a company that offers a full turn-key solution for crating and packaging needs, specializing in designing, building, and packing for international or domestic requirements.",public company,,,No
PRISM Logistics,prismlogistics.com,Warehousing and Storage,"Stockton, California, United States",201-500,https://www.linkedin.com/company/prism-logistics,"Prism Logistics is a logistics company that offers supply chain management, transportation, warehousing, and distribution services.",privately held,,,Yes
EShipping Distribution Services,eshippingdistribution.com,Warehousing and Storage,"Riverside, Missouri, United States",51-200,https://www.linkedin.com/company/eshipping-distribution-services,"eShipping Distribution Services is a logistics company that offers state-of-the-art warehousing and fulfillment services including transportation management, temperature-controlled facilities, and cross-docking.",privately held,,,Yes
EAST BAY LOGISTICS,eblwarehouse.com,Warehousing and Storage,"San Leandro, California, United States",51-200,https://www.linkedin.com/company/east-bay-logistics-inc,"Welcome to East Bay Logistics, the industry-leading provider of reliable bonded and non-bonded warehousing, transportation & fulfillment for cocoa, coffee, sugar, grain, solar, and construction material.",privately held,,,Yes
Fabricators Supply,fab-supply.com,Warehousing and Storage,"West Point, Mississippi, United States",51-200,https://www.linkedin.com/company/fabricatorssupply,"Fabricators Supply is a full line steel service center in West Point, MS. We offer our clients a large inventory, reliable service and competitive pricing",privately held,,,Yes
GLC Distribution,glcdistribution.com,Warehousing and Storage,"Redlands, California, United States",51-200,https://www.linkedin.com/company/glc-distribution-llc,"GLC Distribution is a logistics company that specializes in warehousing and distribution, focusing on enhancing consumer access through omnichannel distribution chains.",privately held,,,Yes
Tradewinds Logistics,tradewinds.net,Warehousing and Storage,"Westfield, Indiana, United States",51-200,https://www.linkedin.com/company/tradewinds-logistics-inc,"Tradewinds is a logistics company that offers full-service 3PL solutions, including warehousing, fulfillment, and transportation with an asset-based trucking division.",privately held,,,Yes
Ford Storage,fordstorage.com,Warehousing and Storage,"Omaha, Nebraska, United States",201-500,https://www.linkedin.com/company/ford-storage,"Ford Storage is a storage solutions provider that specializes in warehousing, logistics, and supply chain management.",privately held,,,Yes
Interstate Threaded Products,interstatethreadedproducts.com,Warehousing and Storage,"Dallas, Texas, United States",51-200,https://www.linkedin.com/company/interstate-threaded-products,"Interstate Threaded Products is a manufacturing company that specializes in producing specialty threaded fasteners for various industries including petrochemical, construction, and communication.",privately held,,,No
HWC Logistics,hwclogistics.com,Warehousing and Storage,"Forest Park, Georgia, United States",51-200,https://www.linkedin.com/company/hwc-logistics,"HWC Logistics is a logistics company that specializes in providing distribution, warehousing, transportation, import, and export services as a single source provider, simplifying supply chain solutions.",public company,,,Yes
Patton Warehousing & Logistics,pattonwarehousing.com,Warehousing and Storage,"Milton, Pennsylvania, United States",201-500,https://www.linkedin.com/company/patton-warehousing,Patton Warehousing & Logistics is a logistics company that offers warehousing services and transportation solutions through its affiliation with a large trucking company.,privately held,,,Yes
The Nut Place,thenutplace.com,Warehousing and Storage,"Houston, Texas, United States",51-200,https://www.linkedin.com/company/the-nut-place-inc,The Nut Place is a retail and wholesale distribution company that specializes in nut products.,privately held,,,Yes
Venida Packing Co.,venidapacking.com,Warehousing and Storage,"Exeter, California, United States",51-200,https://www.linkedin.com/company/venida-packing-company,"Venida Packing is an agriculture company that specializes in growing, packing, and shipping plums, kiwifruit, and persimmons for domestic and international markets.",privately held,,,Yes
FREZ-N-STOR,fnscold.com,Warehousing and Storage,"Springdale, Arkansas, United States",51-200,https://www.linkedin.com/company/frez-n-stor-inc.,FREZ-N-STOR is a temperature-controlled warehousing provider that delivers scalable cold storage and supply chain solutions for the food and beverage industry and beyond.,self owned,,,Yes
